field,before,after,reason,confidence
Full_Name,ANTHONY,Anthony,Standardized name format,high
Phone_Number,541234567,INVALID,Standardized phone format,low
Email,anthony@gmail,anthony@gmail.com,Fixed email format,medium
Date_of_Birth,5/12/1998,1998-05-12,Standardized date format,high
Phone_Number,2.34E+11,INVALID,Standardized phone format,low
Email,,,Fixed email format,medium
Date_of_Birth,12/5/1998,1998-12-05,Standardized date format,high
Phone_Number,2.33E+11,INVALID,Standardized phone format,low
Date_of_Birth,11/3/1995,1995-11-03,Standardized date format,high
Full_Name,AKOSUA MENSAH,Akosua Mensah,Standardized name format,high
Phone_Number,245678901,INVALID,Standardized phone format,low
Email,akosua.mensah@,akosua.mensah@.com,Fixed email format,medium
Date_of_Birth,3/11/1995,1995-03-11,Standardized date format,high
Phone_Number,,,Standardized phone format,high
Date_of_Birth,7/21/1992,1992-07-21,Standardized date format,high
Phone_Number,201234567,INVALID,Standardized phone format,low
Date_of_Birth,21/07/1992,1992-07-21,Standardized date format,high
Phone_Number,559876543,INVALID,Standardized phone format,low
Date_of_Birth,2/10/1999,1999-02-10,Standardized date format,high
Phone_Number,559876543,INVALID,Standardized phone format,low
Date_of_Birth,2/10/1999,1999-02-10,Standardized date format,high
Phone_Number,271112223,INVALID,Standardized phone format,low
Date_of_Birth,9/15/1990,1990-09-15,Standardized date format,high
Phone_Number,271112223,INVALID,Standardized phone format,low
Email,kojo.boateng@gmail,kojo.boateng@gmail.com,Fixed email format,medium
Date_of_Birth,15/09/1990,1990-09-15,Standardized date format,high
Phone_Number,invalid_number,INVALID,Standardized phone format,low
Date_of_Birth,3/8/1997,1997-03-08,Standardized date format,high
Full_Name,,,Standardized name format,high
Phone_Number,503334444,INVALID,Standardized phone format,low
Date_of_Birth,8/3/1997,1997-08-03,Standardized date format,high
Phone_Number,240001111,INVALID,Standardized phone format,low
Date_of_Birth,6/30/1993,1993-06-30,Standardized date format,high
Phone_Number,240001111,INVALID,Standardized phone format,low
Date_of_Birth,6/30/1993,1993-06-30,Standardized date format,high
Phone_Number,265557777,INVALID,Standardized phone format,low
Date_of_Birth,12/1/1988,1988-12-01,Standardized date format,high
